X Y TOL_COUNTS TOL_BG APER_RAD MAG TOL_COUNTS_ERR MAG_ERR
2370 1879 114320.5 2391058.5 15 12.654689711881806 338.11314674232943 -0.0032089849520901977
2326 2373 241210.37909836136 6674283.620901639 25 11.84401002192502 491.1317329376726 -0.0022091832541752962
1562 1963 134555.07028753962 3594773.9297124604 19 12.477749831402148 366.81748906989105 -0.0029578742353619657
910 1105 144047.69262295123 6641871.307377049 25 12.403734234801261 379.53615456626954 -0.002858752682573622
3090 185 39153.65234375 1494357.34765625 12 13.818069299292715 197.87281860768547 -0.005483320082235176
294 687 80514.05288461503 4695544.947115385 21 13.035320778658066 283.7499830565898 -0.0038237887745833352
4094 490 38617.20058139507 3042289.799418605 17 13.833048030179633 196.5125964954793 -0.005521274561272004
1383 2335 123264.6155660376 5187288.384433962 22 12.572903936042572 351.09060876935683 -0.00309037032862583
2698 1866 34732.77499999991 1045523.2250000001 10 13.948151292583871 186.36731204800887 -0.005821836394359223
1560 2090 120538.96646341449 2715510.0335365855 16 12.597181341552222 347.18722105431027 -0.003125115022105823
4070 1366 35339.9453125 1496544.0546875 12 13.929335317215884 187.98921594735162 -0.005771607666600758
1041 1215 40605.55172413797 1280560.448275862 11 13.778536460495129 201.50819269731434 -0.005384396462876224
3177 563 43715.2734375 1498066.7265625 12 13.698417001925904 209.08197779220475 -0.0051893520974740474
1936 1073 217814.6933962265 5206040.3066037735 22 11.954782067124825 466.7062174390079 -0.0023248029691007805
1680 1397 36062.20000000007 1043575.7999999999 10 13.907369455908992 189.90050026263773 -0.005713518387257614
757 1012 83484.10465116287 3048101.895348837 17 12.995990515465719 288.93616016546434 -0.003755154769754868
4423 1490 30319.48369565222 853765.5163043478 9 14.095695496224497 174.12490831484226 -0.006231159059898357
2865 900 133655.84375 21227513.15625 54 12.485030120272798 365.5897205201481 -0.0029678077339163156
462 2390 36457.668478260865 850493.3315217391 9 13.895527771416173 190.9389129493013 -0.005682445674591708
2485 1516 31644.050000000047 1047061.95 10 14.049269844850413 177.88774550260635 -0.006099352133191788
251 2230 43478.32608695654 851195.6739130435 9 13.704317961440898 208.5145704428267 -0.005203473300190788
1499 1580 63937.0625 3843585.9375 19 13.285618301664824 252.85779106050896 -0.004290949452059237
461 1799 111851.45121951215 6096846.548780488 24 12.67839594191486 334.44199978398666 -0.0032442097604391566
3132 245 34720.125 1767252.875 13 13.948546799845394 186.33337060226222 -0.00582289686755029
1104 717 94309.38175675645 2389897.6182432435 15 12.86361275536444 307.09832587748906 -0.003533070383564513
4284 2125 39944.87109375 1495518.12890625 12 13.79634744004135 199.86213021418038 -0.005428742297689261
2907 975 30918.55078125 1502199.44921875 12 14.074452176474866 175.83671624905307 -0.006170497397501548
2670 828 32707.25 10326246.75 31 14.013389923701009 180.85145838505147 -0.005999398676066647
1250 404 33212.5 1767035.5 13 13.996746081454166 182.24296968607595 -0.005953590428585394
3349 688 90634.93833780196 7801317.061662198 28 12.906760890952539 301.05637069791754 -0.003603976217094233
3260 1882 70693.74193548411 2216134.258064516 15 13.17654757453108 265.88294780877567 -0.0040807430824045835
854 1733 122688.63043478271 2106588.3695652173 14 12.577989203781895 350.26936839350185 -0.0030976160004407872
1010 1177 48981.90086206887 1280488.0991379311 11 13.574910912570486 221.31855065056988 -0.004902435863648224
2585 1110 112016.84836065583 6646310.151639344 25 12.676791626365816 334.68918172037746 -0.0032418137760618876
927 1034 75660.29166666698 3440346.708333333 18 13.10282997214097 275.0641591823024 -0.003944534261480799
1290 1872 44053.84375 1492587.15625 12 13.69004048222815 209.8900753966228 -0.005169372577286987
1682 2467 91669.576923077 5522363.423076923 30 12.894436932544311 302.7698415018857 -0.00358358016973511
2402 871 26757.517045454588 662767.4829545454 8 14.231385473102103 163.57725100225454 -0.006632951668719788
2777 613 138690.87804878037 6137448.12195122 24 12.444880255812773 372.41224207694944 -0.0029134380597934605
4444 1573 27302.166666666744 1766972.8333333333 13 14.209507216277293 165.23367292010047 -0.006566458160889862
4337 1280 31096.55792682944 2710534.4420731706 16 14.068219200754038 176.34216151229813 -0.006152811050375675
2641 2281 65908.33984375 1505746.66015625 12 13.252649069017417 256.7261962553685 -0.004226292508617772
3855 338 62145.1976744188 3045186.802325581 17 13.316481065547892 249.28938540262558 -0.004352371434698769
928 576 32660.0 1770114.0 13 14.014959548998377 180.72077910411963 -0.006003736844089705
2519 442 66819.57770270295 2390646.422297297 15 13.237740683536302 258.49483109474926 -0.0041973759993765665
3305 607 84389.046875 3871751.953125 19 12.984284795474938 290.4979292094868 -0.003734966383245968
610 1822 31169.034482758492 1272585.9655172415 11 14.06569162643051 176.5475417069252 -0.0061456534002673115
980 1992 48003.72413793113 1273023.2758620689 11 13.596812671674904 219.0975219803527 -0.004952132685906398
834 1335 94407.43877551053 4265560.5612244895 20 12.862484460974223 307.2579352523064 -0.0035312350813952015
3876 1101 29938.40234375 1505391.59765625 12 14.109428448510029 173.02717226999349 -0.0062706913935283775
350 190 42594.375 1051952.625 10 13.726619374764233 206.38404734862624 -0.00525718927377757
471 2113 95899.7848837208 3034286.215116279 17 12.845455917524795 309.6769040204981 -0.0035036516637617305
1011 1956 52177.22499999998 1042872.775 10 13.506297555482874 228.4233460047374 -0.004749952309942512
4484 1474 60370.6976744188 3054521.302325581 17 13.347934512975254 245.70449258086185 -0.004415873672488606
3135 2278 20316.198717948748 497075.80128205125 7 14.53039386969246 142.5349035076979 -0.007612170586283116
4072 2139 38510.96875 3841207.03125 19 13.836038891219879 196.2421176760993 -0.005528884486411881
3886 457 81256.81521739112 2087985.1847826089 14 13.025350508574904 285.05581070623896 -0.0038062721728487573
1907 548 30807.58984375 1493838.41015625 12 14.078355690795002 175.52090999009206 -0.006181599674142795
2971 372 53722.416666666744 1772765.5833333333 13 13.474611147799116 231.78096700692822 -0.004681143641822704
1463 1299 25415.10775862052 1275098.8922413795 11 14.28727011143329 159.42116471353646 -0.006805871741996328
