X Y TOL_COUNTS TOL_BG APER_RAD TOL_COUNTS_ERR MAG MAG_ERR
2513 391 267329.59765625 1505975.40234375 12 517.0392612328874 11.732382388114424 -0.0020984866747117076
3540 518 258876.4140625 1505461.5859375 12 508.79899180570317 11.767268789605343 -0.002132472778983675
3716 405 158043.390625 1620252.609375 12 397.54671502227256 12.30305915410246 -0.002729239002614354
829 1868 545057.609375 1543190.390625 12 738.280169972755 10.95889398232941 -0.0014696317795452097
2591 1029 247147.6875 1512921.3125 12 497.1395050687483 11.817608621926562 -0.0021824859801675947
3333 555 218242.31640625 1509976.68359375 12 467.164121488637 11.952652593581842 -0.0023225242481006558
1175 574 493859.1875 1559898.8125 12 702.7511561712297 11.065992156077726 -0.0015439320027751517
4211 348 182510.18359375 1501171.81640625 12 427.21210609456045 12.146782245071064 -0.002539722036247359
1555 2055 190810.53125 1501354.46875 12 436.81864801081923 12.098494148273403 -0.0024838683168423854
2322 1005 199201.15625 1503047.84375 12 446.3195674065837 12.051770362678173 -0.00243099357329229
2862 2078 170623.8515625 1503413.1484375 12 413.0664009121294 12.219900646902357 -0.002626696331640901
2277 2298 317352.7578125 1567092.2421875 12 563.3407120140528 11.546144308228168 -0.0019260102755948765
3620 2154 156035.640625 1499094.359375 12 395.01346891593454 12.316940479131741 -0.002746741783204628
940 208 224753.07421875 1508675.92578125 12 474.08129494713245 11.920735897962272 -0.002288637015558681
4419 600 157140.859375 1498944.140625 12 396.4099637685713 12.309277190266219 -0.002737065409973992
3660 2321 149163.30078125 1496627.69921875 12 386.21665005699845 12.365845037143448 -0.0028093040521165362
1422 909 162602.0625 1500739.9375 12 403.23946049462967 12.27218487491933 -0.002690708887143871
3850 603 140403.66796875 1500714.33203125 12 374.70477441413794 12.431553865882702 -0.0028956129574180894
3936 501 132111.87890625 1500663.12109375 12 363.4719781582206 12.497645327055773 -0.0029850994442484798
3705 413 110741.22950819682 1042859.7704918032 12 332.77804841695433 12.689226647570845 -0.003260431405140488
3976 2280 114020.08203125 1495029.91796875 12 337.66859793479466 12.657546627201267 -0.0032132096577411635
1296 520 135860.109375 1500582.890625 12 368.59206363539624 12.467270100284402 -0.002943633645550382
610 1312 142191.05859375 1504940.94140625 12 377.08229684480017 12.41781928126398 -0.002877355975283467
1803 1106 122860.70703125 1499345.29296875 12 350.5149169882075 12.576467474395141 -0.003095446006471967
4406 1855 108075.19921875 1497477.80078125 12 328.74792656190243 12.71568488810886 -0.003300401043885206
1466 128 131471.484375 1501948.515625 12 362.5899672839832 12.502921084124289 -0.0029923607873855477
3295 1913 102959.05859375 1502318.94140625 12 320.8723400259829 12.76833859264381 -0.003381407072707299
3170 232 108205.75 1498145.25 12 328.9464242091712 12.714374151056065 -0.0032984094677681246
2567 1448 44285.615384615376 794501.3846153846 12 210.441477338987 13.684343290173722 -0.005155827709060612
3251 2218 284047.56640625 1575854.43359375 12 532.9611302958688 11.666522318033909 -0.0020357957425481883
2408 1919 89277.75 1501641.25 12 298.79382523740344 12.923141908664583 -0.003631266473254341
2376 794 164061.8828125 1514379.1171875 12 405.0455317769843 12.262480771728754 -0.0026787111938748522
2660 1344 93274.48828125 1517849.51171875 12 305.4087233221245 12.875592812223838 -0.0035526162717219286
3423 844 141368.50390625 1515466.49609375 12 375.99003165808796 12.424118345219062 -0.002885714802637801
1706 1998 82849.75 1495086.25 12 287.8363250182298 13.00427199432719 -0.0037695033798506245
2697 1132 173859.765625 1530722.234375 12 416.9649453191479 12.199502275423685 -0.0026021372112457397
3096 896 87054.875 1502679.125 12 295.0506312482656 12.950517259347158 -0.0036773349557318665
467 1448 11511.666666666686 414014.3333333333 12 107.29243527232796 15.14715448594374 -0.010112548915923756
3353 640 320578.41796875 1601333.58203125 12 566.1964482127647 11.53516429659986 -0.001916296019561535
839 258 150155.90625 1515393.09375 12 387.49955645135907 12.358643951347549 -0.0028000032050003
422 2340 247764.05078125 1515090.94921875 12 497.7590288294628 11.814904267901554 -0.002179769601671518
